event_id,mag,longitude,latitude,depth (km),code,distance (km),vs30,pga (%g),pgv (cm/s),max_sa(0.3),max_sa(1.0),max_sa(3.0),E-pgv (cm/s),E-sa(0.3) (%g),E-sa(1.0) (%g),E-sa(3.0) (%g),E-pga (%g),N-pgv (cm/s),N-sa(0.3) (%g),N-sa(1.0) (%g),N-sa(3.0) (%g),N-pga (%g)
024gol0iao,3.6,-153.0206,60.0317,114,HOM,143.442,692.81,0.1034,0.0233,0.0829,0.0052,0.0025,0.0188,0.0692,0.0052,0.0015,0.0774,0.0233,0.0829,0.0044,0.0025,0.1034
024gol0iao,3.6,-153.0206,60.0317,114,K204,237.274,279.86,0.0285,0.0086,0.0479,0.0043,0.0004,0.0078,0.0479,0.0036,0.0004,0.026,0.0086,0.0396,0.0043,0.0003,0.0285
024gol0iao,3.6,-153.0206,60.0317,114,K205,242.322,343.01,0.0337,0.0093,0.0546,0.0054,0.0004,0.0093,0.0546,0.0039,0.0003,0.0337,0.0069,0.0377,0.0054,0.0004,0.0277
024gol0iao,3.6,-153.0206,60.0317,114,K209,248.079,391.18,0.0172,0.0034,0.0153,0.0025,0.0002,0.0034,0.0147,0.0025,0.0002,0.0169,0.0033,0.0153,0.0015,0.0001,0.0172
024gol0iao,3.6,-153.0206,60.0317,114,K210,237.731,269.1,0.0287,0.0085,0.0428,0.0058,0.0004,0.0061,0.0331,0.0039,0.0003,0.0194,0.0085,0.0428,0.0058,0.0004,0.0287
024gol0iao,3.6,-153.0206,60.0317,114,K212,244.642,317.72,0.022,0.0056,0.0347,0.0022,0.0002,0.0047,0.0199,0.0019,0.0002,0.0188,0.0056,0.0347,0.0022,0.0002,0.022
024gol0iao,3.6,-153.0206,60.0317,114,K213,239.661,343.94,0.0324,0.0119,0.0824,0.0042,0.0004,0.0119,0.0824,0.0042,0.0003,0.0306,0.0114,0.0808,0.0038,0.0004,0.0324
024gol0iao,3.6,-153.0206,60.0317,114,K215,242.571,550.24,0.0752,0.0197,0.098,0.0037,0.0006,0.0175,0.098,0.0036,0.0006,0.069,0.0197,0.0828,0.0037,0.0006,0.0752
024gol0iao,3.6,-153.0206,60.0317,114,K217,269.324,452.27,0.0283,0.0049,0.0219,0.0015,0.0002,0.0039,0.0219,0.0013,0.0002,0.0177,0.0049,0.0154,0.0015,0.0002,0.0283
024gol0iao,3.6,-153.0206,60.0317,114,K220,234.388,436.57,0.0147,0.0042,0.0249,0.0026,0.0003,0.0042,0.0224,0.0026,0.0003,0.0147,0.0037,0.0249,0.0022,0.0003,0.0138
024gol0iao,3.6,-153.0206,60.0317,114,K221,238.259,211.6,0.0227,0.0069,0.0553,0.0053,0.0003,0.0069,0.0553,0.0046,0.0002,0.0222,0.0059,0.0509,0.0053,0.0003,0.0227
024gol0iao,3.6,-153.0206,60.0317,114,K222,239.22,478.16,0.0479,0.0093,0.0434,0.005,0.0004,0.0083,0.0434,0.005,0.0004,0.0346,0.0093,0.027,0.004,0.0004,0.0479
024gol0iao,3.6,-153.0206,60.0317,114,K223,246.214,426.51,0.0172,0.0064,0.015,0.006,0.0003,0.0064,0.015,0.006,0.0003,0.0172,0.0054,0.0137,0.0056,0.0003,0.0165
024gol0iao,3.6,-153.0206,60.0317,114,KLU,433.755,760.0,0.0038,0.001,0.0084,0.0008,0.0001,0.0008,0.0043,0.0003,0.0001,0.0038,0.001,0.0084,0.0008,0.0001,0.0028
024gol0iao,3.6,-153.0206,60.0317,114,L22K,323.33,760.0,null,0.0004,0.0014,0.0002,0.0001,0.0004,0.0013,0.0002,0.0001,0.0013,0.0003,0.0014,0.0001,null,0.001
024gol0iao,3.6,-153.0206,60.0317,114,MS02,272.609,271.75,0.103,0.0177,0.0275,0.0035,0.0004,0.0066,0.0197,0.0028,0.0003,0.0738,0.0177,0.0275,0.0035,0.0004,0.103
024gol0iao,3.6,-153.0206,60.0317,114,MS03,290.768,369.27,0.0443,0.0143,0.1032,0.0027,0.0004,0.0113,0.0801,0.0019,0.0004,0.0309,0.0143,0.1032,0.0027,0.0004,0.0443
024gol0iao,3.6,-153.0206,60.0317,114,NIKI,163.027,236.07,0.0772,0.028,0.197,0.0123,0.0013,0.028,0.197,0.0123,0.0013,0.0772,0.0275,0.1351,0.0102,0.0012,0.0742
024gol0iao,3.6,-153.0206,60.0317,114,O19K,135.449,408.29,null,0.0031,0.0135,0.0012,0.0001,0.002,0.0078,0.0009,0.0001,0.0065,0.0031,0.0135,0.0012,0.0001,0.0062
024gol0iao,3.6,-153.0206,60.0317,114,P16K,321.32,760.0,null,0.0004,0.0018,0.0004,0.0003,0.0004,0.0014,0.0003,0.0003,0.0003,0.0003,0.0018,0.0004,0.0002,0.0003
024gol0iao,3.6,-153.0206,60.0317,114,P18K,181.952,582.36,null,null,0.001,0.0004,0.0001,0.0003,0.001,0.0002,0.0001,0.0007,0.0004,0.0009,0.0004,0.0001,0.0006
024gol0iao,3.6,-153.0206,60.0317,114,PWL,296.209,760.0,0.015,0.003,0.018,0.001,0.0002,0.003,0.0113,0.0006,0.0002,0.015,0.0027,0.018,0.001,0.0001,0.0122
024gol0iao,3.6,-153.0206,60.0317,114,Q23K,397.216,760.0,0.0029,0.001,0.0028,0.0005,0.0006,0.001,0.0026,0.0005,0.0006,0.0029,0.0008,0.0028,0.0004,0.0005,0.0022
024gol0iao,3.6,-153.0206,60.0317,114,RC01,243.245,508.98,0.0639,0.0168,0.0455,0.0033,0.0004,0.0168,0.0455,0.0033,0.0004,0.0639,0.0105,0.0284,0.0019,0.0003,0.0611
024gol0iao,3.6,-153.0206,60.0317,114,RND,449.281,760.0,0.0007,0.0002,0.0011,0.0002,0.0001,0.0002,0.0011,0.0002,0.0001,0.0007,0.0002,0.0006,0.0002,0.0001,0.0006
024gol0iao,3.6,-153.0206,60.0317,114,S19K,332.259,760.0,0.0019,0.0006,0.0062,0.0005,0.0002,0.0006,0.004,0.0005,0.0002,0.0019,0.0005,0.0062,0.0004,0.0002,0.0016
